ID,Information_centrality,Degree_centrality,Betweenness_centrality,Eigenvector_centrality,Closeness_centrality,clustering_coefficient,Load_centrality,Page_rank
AT5G13650,0.00014749693289096036,0.00036859565057132326,0.0005093754087250158,1.8360346864533872e-07,0.053561054943339965,0.0,0.0005093754087250158,0.00013291160548767464
AT5G65360,0.00024329714317999245,0.0075562108367121265,0.0013117575974067306,0.15915633859896142,0.05483389370149919,0.2731707317073171,0.001209378026204309,0.0003527482818273953
AT5G14030,0.00010541747603576347,0.00018429782528566163,0.0,8.63533299019005e-13,0.03785618596533478,0.0,0.0,7.644509174452724e-05
AT3G48070,0.00024171473473286724,0.002395871728713601,0.00040443648970078794,1.4401514729242499e-06,0.05714523371536693,0.0,0.0004614588711967121,0.0002474931072947443
AT4G35590,9.944077453134741e-05,0.00036859565057132326,0.00016992769070578424,1.2557412169805274e-09,0.041955964923977844,0.0,0.00016992769070578424,0.00018099962968719986
AT5G49890,0.00018439314029048526,0.0005528934758569849,7.91925581529353e-06,1.544519913374377e-08,0.0459259234695889,0.0,2.2664858802724768e-05,0.00012876539856354255
AT5G14740,9.436869862480523e-05,0.00018429782528566163,0.0,9.040078020362633e-11,0.03650734521484536,0.0,0.0,9.387317363699751e-05
AT3G05150,0.00017056318563200612,0.00036859565057132326,1.6177118743529659e-09,1.0366591026083412e-07,0.04361174580326389,0.0,1.6177118743529603e-09,9.701117841045847e-05
AT5G64730,0.00018909621353706884,0.0005528934758569849,3.3971949361412284e-08,1.4724696650727835e-07,0.05195933721309417,0.6666666666666666,3.3971949361412284e-08,0.00010938805540755389
AT5G56760,7.31540337418884e-05,0.00018429782528566163,0.0,1.4353491680137696e-16,0.03047856506695752,0.0,0.0,9.026028687643486e-05
AT3G22150,8.33563005975983e-05,0.0005528934758569849,8.32312759354601e-07,2.664303244239118e-16,0.0304833969265607,0.0,8.705312023861898e-07,0.0002171248580706948
AT5G39040,4.302167356326004e-05,0.0012900847769996315,0.0019471003787044831,1.7091132650209323e-13,0.024451711919113724,0.0,0.0019470953700196417,0.00034224611845487854
AT4G16260,9.529971226791796e-05,0.00018429782528566163,0.0,1.452530112402135e-08,0.03836476202046897,0.0,0.0,9.376599206641576e-05
AT2G42610,9.206408727434937e-05,0.00018429782528566163,0.0,5.127603035661821e-11,0.038235074020002084,0.0,0.0,9.29883344712909e-05
AT5G08670,0.00024104950214920418,0.003317360855141909,0.0035611183710590978,1.7579119321290652e-06,0.059647664330448914,0.006535947712418301,0.003241134770006689,0.0004744878770444086
AT3G14390,0.00021051936713196022,0.0011057869517139699,0.0004492811756294943,3.427346039375342e-08,0.04752059986323185,0.0,0.00042434991276512566,0.0002135109945786673
AT1G53240,0.00023895563170184527,0.0018429782528566162,0.0025557310060007783,5.5489724002358455e-05,0.05752705676786551,0.0,0.0019423275642266517,0.0001925686629958391
AT1G34430,0.00022923275960232757,0.0012900847769996315,0.0008169848639241593,2.925348304146369e-05,0.05667641596971619,0.0,0.0007640272544322022,0.0001983702516586776
AT5G34930,0.00022777827259666872,0.001474382602285293,1.1156024481708928e-05,8.029021177112422e-08,0.05417218967364149,0.42857142857142855,1.1957048313403977e-05,0.00018698143210511253
AT1G03110,0.00012894091564440895,0.00018429782528566163,0.0,3.674806964700068e-08,0.044625580144646376,0.0,0.0,7.830800134625375e-05
AT3G12740,0.0001842562696042821,0.0005528934758569849,0.00022667923191805234,3.005043118209583e-08,0.050512483514866154,0.0,0.00023228854767903194,0.0001295196253245231
AT5G63630,0.0001912799960872068,0.0009214891264283081,1.6317246321857534e-05,1.2734018070116047e-08,0.04303745751033472,0.0,2.4879670236599473e-05,0.0001820006113711126
AT2G30360,0.00022820166416545867,0.001474382602285293,0.000207158593566331,0.0025981911944533156,0.050739076588949904,0.0,0.0001775984859371058,0.0001968615588848214
AT3G13930,0.00023793194563358704,0.0022115739034279398,0.003990594673060859,2.9650621358578318e-05,0.05965074833150007,0.0,0.003821743291257066,0.00032624521359936694
AT2G36990,0.00010008764630252129,0.00018429782528566163,0.0,2.4743238196854156e-09,0.03894494745745149,0.0,0.0,9.112003968787154e-05
AT5G17760,0.0001281515453318907,0.00018429782528566163,0.0,1.745008762512997e-08,0.04421342544184651,0.0,0.0,7.608553258856094e-05
AT3G05210,8.392989588153817e-05,0.00018429782528566163,0.0,7.376635399533198e-11,0.03687019026172199,0.0,0.0,9.415544142404373e-05
AT5G51400,0.0001282470967211369,0.00018429782528566163,0.0,1.8557611153453867e-08,0.04413393227036238,0.0,0.0,8.282723331564813e-05
AT1G42970,0.00022163013543691473,0.0022115739034279398,0.00047856042279722274,0.00010600905854046735,0.04763046501030232,0.18181818181818182,0.0005048588213292349,0.00027841193088022463
